views_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k
603,273,1040,6,0,541,4969,14,0
1331,158,972,0,0,210,4969,0,0
2834,231,995,15,3,408,4970,28,6
1014,643,1021,60,6,816,5031,77,8
5016,293,957,39,0,514,5006,71,2
471,236,1008,19,0,398,4999,35,1
959,507,1039,2,0,674,5023,7,0
222,82,1008,6,0,151,5047,12,0
447,233,962,16,0,345,4975,27,0
465,199,988,18,1,301,4979,21,1
6673,540,977,11,0,1030,5022,31,0
654,325,1038,7,0,608,4980,12,0
385,172,1010,3,0,283,4991,3,0
729,153,965,1,0,189,5017,0,0
260,135,951,5,0,205,5010,10,0
509,50,1031,4,0,74,5010,6,0
1394,191,966,9,0,292,5019,10,0
3646,288,979,13,0,476,5027,17,0
324,193,962,9,0,236,5017,10,0
212,117,1045,5,0,158,5039,9,0
1419,475,1042,58,1,901,4966,117,3
4022,596,1043,42,0,896,4968,67,1
774,490,1031,45,2,731,5000,66,3
2983,210,962,5,0,331,5019,3,0
329,177,992,16,0,306,5012,37,0
1677,293,1034,3,0,390,5042,2,0
1722,649,1043,59,4,1057,5024,91,7
584,339,970,30,3,418,5029,37,3
316,237,1004,6,0,289,4979,12,1
8988,332,1030,12,1,477,4974,18,2
2023,226,989,4,0,352,5024,5,0
721,277,1032,42,1,523,5020,69,2
694,284,964,18,1,489,4975,30,2
5371,532,1022,0,0,803,5005,1,0
3631,585,1001,29,3,1028,4971,44,4
1357,187,1023,26,0,250,5038,36,0
332,159,1044,9,0,215,4968,10,0
1535,255,1002,13,0,317,4980,14,0
719,350,1036,19,0,548,4975,29,0
3013,563,1001,5,0,842,4991,2,0
257,139,979,3,0,235,4990,4,0
1461,133,982,9,0,215,5049,15,0
961,37,1006,2,0,70,4972,5,0
3203,430,1001,16,1,665,4996,28,2
1717,275,958,40,1,418,4962,57,1
2968,319,1003,18,1,490,5038,24,1
467,244,950,11,0,443,5015,18,0
671,126,993,12,0,189,5015,19,0
2216,281,1048,6,0,382,4965,8,0
13472,522,1024,41,0,707,5022,49,0
89,53,1047,2,0,82,4977,4,0
5457,289,1029,15,0,451,5026,23,0
131,72,958,5,0,115,4984,9,0
1147,170,981,9,0,326,4990,20,0
1030,137,964,5,0,173,5026,4,0
345,197,961,9,0,292,4980,17,0
1056,180,1046,11,0,260,5034,14,1
1289,565,1027,16,0,923,4981,35,0
642,293,1006,35,1,391,5003,49,1
3588,480,957,2,0,943,5047,0,0
912,335,1021,27,2,609,5021,54,4
2105,104,976,2,0,164,5008,3,0
3700,397,1011,20,0,655,4990,34,1
1349,520,961,18,0,980,5015,26,0
1972,877,1014,59,3,1392,5045,95,5
1276,514,991,25,0,852,5003,27,0
1139,547,1011,24,1,762,4989,18,1
2633,295,960,16,1,419,4977,26,2
2295,75,992,10,0,137,4986,18,1
1021,472,1044,16,4,906,5014,28,7
678,155,966,5,0,200,5023,7,0
2112,147,1046,12,0,250,5004,20,1
612,124,981,11,0,164,4953,16,1
649,56,1042,7,0,111,5048,15,0
269,121,1034,14,0,192,4959,19,1
211,116,1034,12,0,178,4996,13,0
1166,203,989,24,1,267,5024,32,2
1277,576,972,66,0,869,4963,100,0
178,114,1005,10,0,168,4987,14,0
94,46,955,1,0,87,4961,1,0
2742,438,1035,4,0,655,4994,0,0
6221,482,999,14,0,825,4966,22,1
3151,229,986,10,0,340,5029,14,0
251,163,1013,4,0,223,4984,8,0
1347,211,1003,10,0,346,5015,17,0
4733,498,1021,9,0,842,5024,16,1
1028,513,998,37,1,844,4990,69,2
2071,314,1048,73,0,466,5016,112,1
2054,377,960,25,0,519,4978,36,0
990,558,1037,31,0,841,4967,40,0
251,173,998,6,0,212,4969,10,0
941,352,970,2,0,693,4963,8,0
4097,495,1015,17,2,791,4983,24,3
5825,409,1012,23,1,651,4998,38,1
1810,315,1032,1,0,463,5003,0,0
361,166,977,3,0,288,4980,0,0
396,206,966,5,0,293,5007,9,0
3732,259,955,22,1,331,4991,27,1
4993,453,968,50,7,550,5007,55,8
214,144,1005,2,0,185,5031,3,0
110,63,977,2,0,101,4979,2,0
413,251,1015,26,0,314,4974,31,0
1726,592,987,8,0,1116,5012,0,0
1987,340,986,21,0,433,4968,26,1
441,284,1017,8,0,370,5021,13,0
503,60,1035,0,0,117,5041,0,0
1924,248,1039,54,0,461,4957,103,0
2433,415,998,29,0,499,5044,40,0
275,158,992,35,0,240,4952,55,0
1111,607,985,26,1,1006,5016,49,2
417,224,1007,19,0,278,5035,22,0
380,183,962,24,1,302,5030,41,2
469,101,1001,7,0,124,5049,8,0
451,263,1007,15,1,400,4966,21,2
694,335,981,10,0,544,4963,14,0
1380,149,1030,3,0,200,4958,7,0
145,67,1049,6,0,91,5011,9,0
1886,247,1009,11,1,431,5043,12,1
1548,176,1032,27,1,339,4970,57,3
4435,403,1007,26,0,728,5025,57,0
2730,304,1048,23,0,592,4986,44,0
803,130,1005,1,0,174,5045,2,0
749,119,977,3,0,176,4960,5,0
575,46,950,1,0,65,4969,3,0
1755,288,991,1,0,449,4984,0,0
830,525,1031,16,0,634,5002,20,0
645,235,997,16,0,448,4996,29,0
205,104,989,1,0,159,5024,5,0
103,45,1046,2,0,64,5001,3,0
2396,149,1012,4,0,198,4957,4,0
865,496,1025,41,5,621,4953,57,7
1082,156,1021,1,0,264,4976,1,0
218,130,1037,5,0,192,4993,9,0
1309,531,1029,15,0,887,4989,3,0
393,188,953,28,0,238,4996,36,0
2621,323,987,9,0,616,5043,13,0
1058,388,976,41,3,711,4993,93,8
2468,235,958,26,0,360,4997,34,0
2354,376,965,20,2,638,5040,36,4
440,214,1005,9,0,389,5034,16,0
592,264,1025,13,0,474,5001,20,0
369,198,980,8,0,313,5033,11,0
1558,97,1037,3,0,137,5017,5,0
711,312,963,8,0,520,4960,5,0
4659,425,974,16,0,579,5026,21,1
9538,410,983,37,2,561,5022,48,3
849,511,1016,27,1,670,4953,37,1
268,130,973,3,0,163,5025,4,0
1902,446,1022,29,3,547,5022,37,3
3405,327,975,34,0,572,5026,51,0
1770,95,969,5,1,187,4997,9,2
1368,437,1013,31,0,832,4975,57,0
1029,101,959,2,0,152,5026,3,0
245,95,1032,2,0,187,4988,4,0
1387,151,1016,4,0,287,5041,4,0
3467,103,973,5,0,197,5007,9,0
613,285,954,21,1,413,4968,32,1
12682,449,1016,19,0,867,5037,21,0
355,219,1007,21,1,278,5032,25,1
993,488,976,12,0,734,5026,27,0
848,36,1029,0,0,53,5026,0,0
1132,411,964,15,2,795,5007,30,4
352,234,984,37,3,310,4977,48,3
1662,262,1025,21,0,470,5015,38,0
424,212,1002,22,2,327,4959,31,3
190,122,993,4,0,176,5035,4,0
249,104,975,0,0,182,5026,0,0
536,88,996,7,0,128,5007,11,0
555,365,983,48,2,512,5022,60,3
2062,208,1036,9,0,282,5046,12,0
2343,216,1044,11,0,431,4963,23,1
366,198,999,21,0,312,5033,30,0
641,489,1033,26,0,606,4964,34,0
45,17,961,1,0,31,5045,1,0
2333,351,1036,24,0,422,4982,28,0
113,71,953,10,0,86,4966,12,0
536,252,1036,13,2,429,4973,17,3
415,140,997,5,0,278,4979,12,0
813,462,1004,70,0,725,5011,110,0
92,54,950,3,0,65,4962,4,0
884,140,1038,8,0,197,5011,12,0
4037,389,1015,9,0,600,4996,6,0
606,290,979,17,1,545,4965,30,3
761,366,952,33,0,663,5015,50,0
870,367,970,10,0,672,5030,16,1
413,233,1038,13,0,372,5045,16,0
2679,370,1033,7,0,737,4992,12,0
965,322,998,11,0,638,4957,19,0
7356,421,1035,24,0,819,4952,44,1
1331,181,1034,24,0,349,4961,46,1
156,90,1011,1,0,118,5033,2,0
3949,289,1046,35,2,417,4965,54,3
10323,588,987,15,1,1160,5027,16,1
6089,310,964,5,0,542,5029,1,0
2463,357,1001,5,0,438,5008,3,0
1132,392,1028,22,0,763,4998,58,2
565,300,995,3,0,500,5012,8,0
4414,233,974,14,1,305,5011,23,2
928,440,970,41,2,794,4998,63,3
420,288,1037,7,0,392,5000,1,0
3,2,954,0,0,3,4982,0,0
996,434,1019,26,1,637,4979,47,2
937,437,996,10,1,682,5008,23,3
1678,126,1036,3,0,206,5025,5,0
373,198,1017,18,1,302,4964,26,1
1449,614,1040,21,0,1058,5031,40,0
1413,462,967,44,6,874,5041,82,12
350,265,970,32,1,329,4972,41,1
1455,236,1041,36,0,330,5027,52,0
5692,633,1048,99,0,896,5043,146,0
6027,402,1035,19,0,624,5046,22,0
2253,209,972,18,2,321,4994,30,4
999,445,1013,29,0,882,5011,48,1
6944,332,1016,15,0,596,5028,39,1
828,438,989,36,0,656,5020,51,0
928,405,959,56,4,771,4964,99,7
628,294,1038,7,0,518,4995,17,2
589,217,1001,13,0,384,5013,26,0
582,280,1021,22,0,550,4995,35,0
6056,484,1024,11,1,922,5005,17,1
1518,232,1010,41,0,300,4993,52,0
1871,326,1013,1,0,551,5024,0,0
12053,556,954,61,1,921,4978,98,1
547,336,1002,46,3,466,5044,55,4
1055,118,1004,2,0,232,5011,5,0
781,334,986,38,0,531,5038,58,0
1316,112,1005,2,0,169,5001,1,0
982,472,1008,39,2,877,5003,61,3
1198,557,1042,71,6,722,5037,92,8
882,84,1018,3,0,121,5006,4,0
1518,549,1022,7,0,960,5032,12,1
320,189,1008,6,0,264,5015,6,0
2956,261,951,6,0,415,4971,4,0
500,233,1014,36,0,308,4969,49,1
3023,403,1009,15,1,640,4982,29,2
1008,102,1000,1,0,201,5021,6,0
2306,279,979,26,2,550,4974,58,4
869,584,960,48,4,701,4995,68,5
505,182,1041,27,0,319,5022,44,1
402,186,1025,27,0,284,5047,42,0
1695,253,988,15,0,371,5006,21,0
515,309,1039,14,1,466,5036,26,1
22905,704,1026,90,2,1399,4954,172,4
5297,617,1021,73,4,913,5004,125,9
600,291,1012,10,0,549,5010,18,0
9504,306,1013,27,3,565,5038,54,7
205,91,1010,0,0,158,4957,0,0
964,362,1003,11,0,627,4965,21,0
437,230,1041,19,0,297,4997,21,0
1441,648,1043,97,7,933,5010,143,10
174,133,1022,13,0,165,4964,15,0
5834,478,1044,56,4,774,5014,101,7
4162,215,1007,8,0,423,4971,25,1
4716,444,1034,11,1,778,4952,12,1
210,113,1005,21,0,153,5003,28,0
578,287,983,22,0,408,4963,30,0
108,80,980,0,0,96,4985,0,0
886,160,1001,16,0,242,5031,20,0
990,438,1038,38,0,807,5031,57,0
755,98,1025,9,0,124,5016,12,0
2378,340,950,33,2,441,4959,38,2
1069,553,1004,84,4,950,4998,138,6
831,559,971,80,10,670,5014,90,12
503,112,989,5,0,146,5040,5,0
323,108,950,2,0,214,5006,3,0
6144,248,1014,18,0,444,4976,28,0
1396,495,1012,20,2,884,5024,31,3
266,164,1003,19,2,242,4954,30,4
7369,485,991,36,0,944,5020,75,0
750,318,970,7,0,470,5032,3,0
3381,412,1028,74,2,720,5006,138,4
1124,453,1030,15,0,852,5042,28,0
1625,230,971,8,0,426,4964,20,0
9226,498,987,25,1,855,5048,37,1
272,192,1048,12,0,244,5025,21,0
11914,668,1029,36,2,1324,4979,65,5
243,114,957,13,0,185,4969,20,0
969,463,1011,24,0,700,4986,38,0
411,275,996,27,1,376,4952,41,2
6052,453,966,25,1,725,5022,42,2
3524,235,966,6,0,449,4990,9,0
253,130,1039,7,0,208,4988,9,0
376,251,962,18,1,305,4975,20,1
1690,271,966,26,0,397,4951,37,0
723,315,987,19,0,587,4972,42,1
1030,604,1030,30,1,742,4972,31,1
7251,193,1027,6,0,364,5034,18,1
280,129,994,11,0,221,4965,18,0
744,111,955,8,0,148,4958,11,0
361,159,984,3,0,221,4962,4,0
1911,371,963,37,0,569,4977,59,0
681,447,1021,32,1,629,4976,30,1
531,370,1010,19,0,451,5000,22,0
6405,217,964,24,1,341,5013,38,2
1524,640,1003,10,0,1260,5001,36,0
6897,199,976,5,0,396,5030,15,0
405,171,962,11,1,310,4987,19,2
3436,520,980,16,0,727,5049,23,0
2940,234,984,12,1,391,5014,21,2
9185,374,1009,12,0,680,4967,23,0
1277,172,955,2,0,319,5012,8,0
999,512,1018,7,0,896,5000,11,0
266,137,1035,11,0,228,4958,18,0
5508,464,1007,56,1,587,4962,72,1
6669,466,998,9,0,631,4989,15,0
1537,188,972,15,0,368,5004,28,0
959,426,1038,30,0,849,5028,60,0
505,254,983,8,0,311,4992,8,0
481,331,975,15,0,403,4993,20,0
387,224,996,2,0,353,5017,2,0
911,183,954,16,0,256,4982,25,0
3307,396,1039,4,0,696,4973,0,0
2771,226,969,19,0,337,4985,27,0
495,261,955,1,0,393,4959,0,0
1151,568,1019,33,3,888,5049,50,5
625,412,1008,70,3,521,4969,93,5
1308,295,1013,25,0,378,5024,31,0
2117,236,967,5,0,284,4961,4,0
400,275,953,6,0,354,5011,1,0
1749,134,966,13,0,209,4967,16,1
1000,494,963,72,2,896,5043,126,5
121,51,1027,5,0,79,5012,8,0
1220,83,962,3,0,162,5033,3,0
526,359,956,53,2,474,4974,69,3
1008,102,993,8,0,158,4961,11,0
496,253,964,2,0,464,4970,3,0
1842,311,968,15,0,464,4974,24,0
3141,483,1012,23,0,703,4960,22,0
937,122,984,4,0,240,5013,6,0
422,212,1030,3,0,344,5022,4,0
463,218,984,6,0,419,4999,17,0
4627,191,968,11,0,335,5011,20,0
938,142,969,7,0,194,5038,10,1
650,293,1049,3,0,418,5048,7,1
414,196,984,14,0,273,5045,21,0
679,324,981,40,2,626,4998,68,3
2497,208,997,26,0,283,4963,28,0
374,164,993,19,0,283,4950,28,1
394,138,973,14,0,255,5030,24,0
5567,295,1010,35,3,380,4974,46,4
228,138,966,14,1,188,5008,19,1
25,9,1020,3,0,17,5021,5,0
260,98,999,5,0,189,5018,10,0
11645,462,1014,45,6,898,4954,67,9
1305,223,1048,38,3,363,5048,64,6
1261,195,981,10,0,302,4968,14,0
1663,288,985,29,0,401,4972,49,1
1048,158,962,1,0,289,4958,0,0
260,33,1019,1,0,60,5043,2,0
4486,452,1007,12,0,611,4999,24,0
387,228,963,10,0,280,4965,8,0
567,234,986,20,0,394,4982,34,0
966,130,1028,3,0,252,4951,6,0
996,444,1017,9,0,849,4963,23,1
451,182,989,5,0,317,4950,6,0
1601,279,1008,25,0,471,5039,41,1
338,180,1029,7,0,253,5007,11,0
245,128,1041,8,0,174,5038,8,0
172,82,965,8,0,145,4965,15,0
468,260,1011,32,3,409,5028,53,5
846,357,953,7,0,548,5039,14,1
945,119,994,4,0,224,4996,7,0
11293,569,1039,19,1,793,4993,20,1
1234,232,977,8,0,358,5029,10,0
951,436,1045,15,0,594,4963,21,1
2955,420,1015,18,0,759,5042,32,0
411,217,980,21,1,278,4973,25,2
573,225,952,19,0,359,5004,33,0
614,355,957,9,0,517,4964,17,1
981,388,973,17,0,618,5032,33,1
6213,484,964,96,10,650,5021,144,16
2984,432,992,20,0,727,4983,46,2
746,338,980,7,0,530,4951,9,0
4886,314,1022,24,0,517,4976,39,1
674,378,994,0,0,583,5023,0,0
2083,217,1015,12,0,304,5048,21,0
1876,165,957,11,0,245,5036,16,0
539,301,1020,18,0,382,5021,22,0
2112,92,1006,0,0,183,5041,1,0
494,195,1029,20,0,359,4972,36,1
3751,521,1048,50,8,860,5017,72,12
740,324,979,18,1,561,4963,40,3
355,160,1023,6,0,285,5012,16,0
899,185,967,13,0,268,5042,17,0
2414,184,1018,12,0,322,5014,26,1
220,146,1042,9,0,197,5017,11,0
2588,356,988,43,3,682,5012,91,7
1254,132,1009,9,0,186,5045,15,1
811,445,1047,48,0,600,5046,59,0
1968,665,992,68,0,1222,5039,129,2
5039,608,994,65,9,969,5030,111,16
880,362,972,26,0,594,5036,53,0
437,202,1018,14,0,324,5013,29,0
242,79,1043,3,0,153,4981,9,0
981,132,955,2,0,236,5028,3,0
2793,395,1005,4,0,545,4962,7,0
184,79,953,0,0,117,5015,0,0
4734,401,1042,24,1,725,4968,36,1
1017,358,972,9,0,663,4973,20,0
7819,683,955,7,0,1256,5037,9,0
1098,684,981,3,0,849,4960,0,0
295,156,967,5,0,240,5008,6,0
5096,460,964,27,1,839,5035,48,2
779,433,989,15,1,528,4964,12,1
2385,219,1045,5,0,289,4959,12,0
4683,466,1022,7,0,636,4990,9,0
1130,385,1023,77,2,716,4976,148,3
799,361,1033,41,1,538,5009,53,1
19193,533,955,71,0,968,5022,128,1
809,326,1012,23,0,616,5001,33,0
518,241,1016,23,1,320,4977,35,1
620,224,960,15,0,427,5014,29,1
659,354,992,26,2,477,4966,38,2
453,277,966,21,1,399,5044,28,1
7049,562,1045,21,2,968,4993,40,4
2460,296,953,1,0,359,4959,8,0
364,248,1012,17,0,344,5012,25,0
726,381,1017,45,0,498,5042,57,1
743,304,1030,16,1,486,5031,24,1
579,94,990,0,0,165,4996,0,0
147,82,1032,5,0,122,4987,7,0
1813,291,954,37,0,459,5019,59,0
2063,170,981,10,0,339,5025,22,0
3391,362,1035,6,0,685,5002,15,0
268,158,1019,2,0,210,5027,2,0
1249,215,984,2,0,370,4993,8,0
175,64,971,4,0,114,5023,9,0
1337,115,1014,3,0,213,5003,10,0
608,217,1033,4,0,423,4969,5,0
4853,302,971,16,0,603,5028,34,1
750,321,960,41,3,634,4980,87,6
2489,319,1026,12,1,575,4956,16,1
454,241,952,9,0,292,5007,11,0
1040,423,958,2,0,655,4959,0,0
260,143,1009,5,0,192,4959,8,0
470,165,1025,5,0,289,4988,8,0
3727,187,1036,9,0,370,4977,18,0
6190,315,963,8,0,469,4979,9,0
1348,753,1046,8,0,1035,4986,0,0
1086,147,967,1,0,191,5016,0,0
1013,346,1022,7,0,608,4992,21,1
119,64,972,3,0,106,5028,4,0
4725,334,1023,11,0,506,5034,19,0
231,155,1032,12,0,190,5001,15,1
1829,589,996,80,0,1158,5005,151,0
1560,195,1018,6,0,342,5025,15,0
1240,569,996,20,1,788,5017,25,2
459,248,1036,20,0,338,4958,26,0
944,495,979,26,1,834,5041,57,3
635,234,974,3,0,425,4972,0,0
4190,568,977,35,3,776,5012,33,3
2927,558,1047,37,0,763,5010,62,0
2232,327,974,22,1,497,4989,39,2
219,123,1023,14,0,189,4993,23,1
452,161,1027,4,0,316,5035,17,0
2649,341,1007,10,0,634,4973,25,0
1083,520,1043,74,2,768,5000,111,3
58,25,990,2,0,38,5007,3,0
331,188,974,8,0,314,5039,15,0
608,290,1027,46,3,519,5043,78,5
2806,227,1048,16,0,282,4982,19,0
8083,366,997,9,0,649,4965,0,0
4224,360,1047,23,0,692,4971,33,1
665,378,959,14,0,484,5006,17,0
2045,393,1048,8,0,597,5011,13,1
835,177,1024,12,0,218,5031,13,0
895,388,960,19,1,650,5020,31,2
548,241,1034,6,0,429,5039,7,0
927,139,970,0,0,251,5021,0,0
2493,161,1035,9,0,318,5019,22,0
2497,410,994,14,0,698,4979,18,1
3971,437,956,33,3,704,4972,45,4
877,474,1030,34,0,752,4981,71,0
745,125,1013,8,0,221,5035,15,0
4287,272,1013,11,1,469,5006,21,2
588,341,951,31,0,452,4958,38,0
2205,210,1025,18,1,396,4980,37,2
2098,679,991,47,1,1277,5020,90,3
277,131,1031,10,0,233,4958,16,0
694,324,1003,36,2,633,4962,81,5
5737,367,1024,34,2,710,5007,56,3
4585,363,965,40,2,477,4952,56,3
1146,469,967,19,1,910,4984,24,1
9285,364,1048,29,0,590,5046,51,0
3459,423,1008,11,0,759,4970,32,1
1002,469,1039,13,0,778,5013,11,0
1132,483,965,62,2,859,5044,123,5
1780,181,955,8,0,257,5001,10,0
1747,702,1006,39,1,1209,4983,69,2
1332,264,996,29,0,374,5045,33,0
4539,288,997,24,1,510,4984,46,3
892,25,991,1,0,46,4964,2,0
5810,438,1025,24,0,841,5045,44,0
839,388,1009,34,0,711,4955,69,0
931,412,1026,37,0,614,5034,53,0
441,174,953,11,0,308,5046,15,0
610,219,951,12,0,371,4981,25,0
3311,716,1039,138,3,884,5001,167,3
5246,471,1008,45,0,643,5032,60,0
391,187,976,2,0,371,5046,7,0
7324,438,976,24,0,593,4977,37,0
12514,422,1028,54,0,697,5044,103,0
1346,173,1021,5,0,298,5034,8,0
29,15,956,0,0,20,5047,0,0
1244,452,1012,33,5,771,5013,59,9
598,323,995,2,0,410,5028,5,0
589,62,1012,4,0,81,5027,5,0
118,70,961,5,0,92,4968,6,0
552,356,962,5,0,522,4964,8,0
853,390,992,2,0,654,4955,2,0
484,222,966,10,1,434,5022,17,2
221,105,1012,7,0,161,5033,10,0
764,369,1030,18,0,498,5047,21,0
1275,190,985,7,0,294,4987,11,0
1096,176,1034,10,0,285,4975,12,0
1097,440,957,22,2,767,5031,45,5
731,293,1018,6,0,560,5041,18,0
4094,417,1039,37,0,585,5000,55,0
8064,686,1029,89,1,1289,5022,147,3
760,353,985,33,2,675,5045,57,3
505,310,977,7,0,453,5002,5,0
150,66,1042,3,0,121,5005,4,0
195,115,996,1,0,174,5008,1,0
2898,361,1025,9,0,517,5019,20,0
471,229,979,11,0,397,5027,24,1
898,426,972,5,0,724,5041,15,0
736,363,965,17,0,673,5007,17,0
319,120,963,7,0,205,5037,15,1
2800,192,1023,10,0,253,4962,17,0
2162,221,1020,25,0,351,4992,36,1
6604,312,1001,34,4,502,5025,46,6
213,86,986,2,0,141,5000,3,0
613,431,978,16,0,546,4968,32,1
2249,243,1016,9,0,337,4970,14,0
509,213,964,16,0,407,5040,29,0
767,295,1049,17,1,513,5032,30,2
9894,443,996,38,3,725,4973,68,6
1459,184,995,14,0,319,4975,23,0
667,102,1001,7,0,156,4994,12,0
1571,239,968,10,0,377,4977,22,0
145,71,1026,4,0,103,5031,5,0
784,292,970,21,0,518,5049,40,1
4491,235,1013,4,0,401,4978,12,0
164,96,986,3,0,137,4966,2,0
5296,525,976,21,2,911,5017,36,3
6326,223,1004,9,0,316,4993,10,0
1188,448,978,42,0,871,5010,73,0
4022,416,969,4,0,667,5042,17,0
219,117,974,0,0,182,5017,2,0
447,170,1019,12,0,336,5023,28,0
117,59,1012,10,0,103,4974,19,0
780,406,985,26,1,599,5044,40,2
5104,649,951,18,0,1010,5016,33,1
108,60,971,3,0,82,4951,5,0
1434,194,1045,23,0,355,5038,43,0
3428,300,965,7,0,429,4998,14,0
2804,252,967,3,0,335,5019,11,0
2503,469,1018,28,5,662,4975,45,8
154,102,1003,3,0,130,5021,4,0
84,55,1049,1,0,72,5048,2,0
4948,238,979,33,2,443,4976,58,3
2681,246,994,12,0,329,5038,12,0
159,100,968,7,0,125,4967,5,0
2970,361,1036,7,0,676,5003,7,0
995,389,983,41,3,684,4950,70,6
8928,358,962,17,0,566,5010,28,1
1004,575,992,69,4,937,4952,118,8
1727,219,1011,10,0,263,5017,12,0
3681,272,1042,7,0,419,4990,9,0
523,247,1049,25,3,383,4986,45,5
2150,74,971,3,0,120,5000,5,0
660,49,1001,4,0,74,4964,9,0
1360,665,1001,135,10,1238,4957,240,16
4707,566,985,37,0,703,4987,44,0
596,358,1022,3,0,543,5032,3,0
513,311,968,5,0,394,5005,3,0
3624,457,987,20,0,808,4996,25,0
3215,256,1019,14,0,489,5039,24,1
3861,166,1028,5,0,240,4959,13,1
2333,135,1006,8,0,237,5027,19,0
6897,396,969,0,0,697,4998,1,0
1744,238,958,36,0,434,4990,64,0
16677,489,981,60,3,950,5032,140,8
602,277,953,8,0,512,4979,7,0
660,86,999,7,0,139,4954,11,0
173,96,1031,1,0,142,5044,0,0
7835,728,954,20,0,1288,5020,58,0
77,10,969,0,0,16,5032,1,0
586,253,1036,20,0,361,4980,31,0
3339,427,1024,12,0,670,5001,16,0
1107,84,986,4,0,148,5037,10,0
516,197,971,9,0,379,5047,20,0
104,12,1007,1,0,19,4972,2,0
1450,149,1017,11,0,194,4997,19,0
15918,479,1042,47,0,834,4989,91,1
1125,480,993,22,0,700,4955,25,0
1165,198,983,12,0,313,4987,22,0
221,48,1026,3,0,59,4990,3,0
2431,326,991,10,0,634,5049,28,0
918,174,958,6,0,255,4976,13,0
1501,492,1044,37,1,950,5024,56,2
402,161,956,8,0,263,5018,14,0
5930,458,1017,115,0,900,5006,222,0
1894,195,968,7,0,291,4966,7,0
1260,626,1043,27,1,1015,5020,59,3
680,322,980,2,0,515,5040,0,0
10364,397,984,23,1,773,4996,39,1
597,248,1006,14,0,410,5028,20,0
15519,636,1034,56,7,913,4962,67,9
119,64,1010,3,0,100,4960,5,0
321,208,980,27,0,275,5039,34,0
411,250,1032,17,2,389,5035,27,3
383,215,1044,11,0,302,5041,15,0
3810,298,1002,7,0,513,4973,19,0
1260,511,981,15,0,906,5042,34,1
463,179,1015,1,0,324,5022,3,0
2398,383,1008,21,0,524,4953,26,0
380,121,959,18,1,235,4995,33,1
991,407,951,21,1,676,4967,27,1
4175,301,1015,56,2,519,4992,95,4
749,503,1009,44,1,633,5029,44,1
1179,37,1037,5,0,73,4982,10,0
797,137,966,17,0,193,5042,25,0
3083,271,1045,13,0,532,4959,23,1
999,121,965,4,0,185,5022,3,0
1022,376,965,34,2,627,5008,55,3
1353,224,995,12,0,366,4980,21,0
452,207,988,11,1,395,4977,23,2
1591,773,980,56,4,1182,5009,68,5
220,138,1037,3,0,203,4952,6,0
391,192,950,15,1,325,5004,28,2
249,112,960,9,0,191,4963,14,1
288,126,1034,1,0,244,5007,5,0
428,254,953,16,0,377,5038,19,0
404,158,1020,3,0,303,4964,0,0
350,167,975,2,0,243,4951,1,0
223,146,999,8,0,188,4973,10,0
1372,173,961,2,0,338,5027,5,0
1336,224,1044,19,0,281,5013,16,0
3555,305,1030,21,0,389,5020,26,0
1325,481,1046,18,0,938,5049,32,1
501,52,1024,5,0,70,4973,8,0
1221,137,1041,8,0,263,4976,16,0
10652,360,1045,46,2,624,4986,82,5
575,269,1014,0,0,403,5043,3,0
278,99,996,4,0,190,5040,10,1
140,76,1041,4,0,127,4988,8,0
1176,364,1002,31,0,712,5012,70,1
1668,175,1020,1,0,278,5028,0,0
1077,155,951,9,0,262,4975,21,0
3867,242,973,5,0,310,5014,5,0
5435,489,953,29,0,614,4953,32,0
564,409,968,40,0,503,4978,51,0
341,247,975,23,0,318,4950,30,0
276,179,1024,4,0,248,4999,5,0
1677,245,989,18,0,361,5035,29,0
1679,587,999,44,0,1047,4960,71,0
164,101,992,2,0,145,5023,3,0
1730,272,1024,41,0,425,5008,58,0
3316,449,1016,38,1,770,5011,69,2
257,163,961,8,0,238,5030,12,0
733,256,1016,30,0,468,4985,52,1
628,455,976,42,3,555,5005,45,3
1662,574,1003,12,1,1070,5039,13,1
910,472,1015,18,0,737,4970,24,0
879,560,998,20,0,782,4962,22,0
6722,485,965,13,0,882,4958,24,1
3020,437,951,25,1,597,4960,35,2
1889,259,1009,4,0,516,5024,11,0
413,187,1003,23,0,268,5019,31,0
640,117,979,0,0,151,4950,1,0
499,277,1033,25,3,380,5019,28,4
668,374,987,26,2,556,5026,27,2
1004,168,977,13,0,263,5035,23,1
662,273,974,37,0,521,5005,63,1
750,353,1045,34,0,652,4980,51,0
10753,331,959,12,1,571,5035,11,1
1179,103,1009,6,0,196,4986,12,0
7179,228,991,10,0,427,4996,20,0
1439,557,989,8,0,932,5040,18,0
3154,538,1046,22,0,730,5027,32,1
7312,384,1026,22,2,670,4996,34,3
513,210,991,6,0,338,5018,8,0
2596,245,996,1,0,300,5007,0,0
5746,294,986,17,0,383,4985,25,0
2564,349,1029,27,2,477,4981,38,3
209,154,971,6,0,188,5047,6,0
266,174,1006,15,0,221,5013,22,1
290,215,1033,29,5,265,5020,31,5
83,38,976,6,0,54,4991,9,1
14478,564,990,18,1,1088,4997,10,0
162,83,1029,4,0,105,5023,4,0
1001,337,983,22,0,621,5030,30,0
4716,555,981,45,1,1002,4979,89,3
4572,524,1039,55,4,1034,4970,133,11
